to mutilate; mutilar
to try to - not intentar;tratar de
loads, by the bucketfull;a cántaros
steathily, on the sly;a hurtadillas
to jingle;retiñir
to roar;rugir
rocky, craggy;peñascoso
teaching, learning - noun;enseñanza
the nail head, stud;el tachón
tentatively - colloq;a tientas
crag, boulder;peñasco
backwards, upside down, wrong way round;al revés
full effort 100%;al cien por ciento
at breakneck speed - colloq;a matacaballo
I have a lot of teaching;Tengo mucho enseñar
teaching - adj;enseñante
indeed;en efecto
never - colloq;en mi vida
neither more or less;ni mas ni menos
by a little, only just;por poco
As soon as;En cuanto
From time to time, once a while;De vez en cuando
from beginning to end, start to finish;De cabo a rabo
missing, lacking;de menos
The hero;El héroe
at first light;a primera luz
complacency;complacencia
temperate;templado
from afar;a lo lejos
start, beginning - noun;comienzo
I have a load, piles of teaching;Tengo un montón de enseñanza
far away, in the distance;a lo lejos
funny;divertido
phrase, idiom;locución
delegate;delegado
logistics;logística
mild, temporate;templado
stressful;estresante
often;a menudo
unhappiness;infelicidad
to moisten;humedecer
waiter, young man;mozo
to secure begins with a-;afianzar
smell - noun - not oler;olfato
cartridge, pouch;cartuchera
to adjoin;colindar
disseminate;deseminar
I came back;Vine de vuelta
to incense, anger;encolerizar
vault;bóveda
slippery, greasy;resbaladizo
blanket;frazada
eeriness;lo horripilante
I walked;anduve
there was, were;Hubo
around;alrededor
to shine, glow;brillar
fugitive- noun adj;fugitivo
grimace, grin;mueca
to lisp;cecear
It is necessary to eat;Hay que comer
there is no cheese;Hay ningún queso
on both sides;a ambos lados
gluttonous;goloso
piece;pieza
partner, associate;socio
to spy;espiar
per se, in itself;en sí
the shaking, tremor;el temblor
funding;financiamiento
sharpness, acuity;agudeza
promentory;promontorio
the crag;el peñón
to add;añadir
joke;broma
to invoice, check in;facturar
bachelor woman, maiden;soltera
riverside, bank;ribera
liver;higado
had anyone found it;alguien lo ha encontrado
a cot, light bed;un cotre
to flee;huir
the hairdresser;la peluquera
to wave;mover la mano
the vacuum cleaner;la aspiradora
to deny;negar
distrust;desconfianza
leafy;frondoso
I put;Puse
the screenplay;el guión
the sheet;la sábana
curly;rizado
to be fragrant;ser fragante
leg - not pierna;pata
to enjoy;disfrutar
stake e.g. of wood;estaca
findings;Hallazgos
to climb, clamber;trepar
collide, crash;chocar
to stammer, babble;tartamudear
to crush;aplastar
marauder, prowler;merodeador
I poured the wine;Me serví el vino
misty, foggy;brumoso
banner, standard;estandarte
the victim;la víctima
digression;divagacion
late afternoon;tardecita
